% Model:              sensitivity_3d_2.mph
% Version:            COMSOL 6.2.0.415
% Date:               Apr 30 2025, 11:19
% Table:              Table 4 - Punktauswertung 1
% x_disp (m)             y_disp (m)               sig_mod (S/m), Point: 2
6.375E-4                 -0.0228                  1.0000094504099613
6.375E-4                 -0.0216                  1.000009883579371
6.375E-4                 -0.0204                  1.0000093503863803
6.375E-4                 -0.019200000000000002    1.0000094089250988
6.375E-4                 -0.018000000000000002    1.0000087728859952
6.375E-4                 -0.016800000000000002    1.000009299002147
6.375E-4                 -0.0156                  1.0000087098908392
6.375E-4                 -0.0144                  1.0000081588289418
6.375E-4                 -0.0132                  1.000008170800155
6.375E-4                 -0.012                   1.0000077612274372
6.375E-4                 -0.0108                  1.0000071772773955
6.375E-4                 -0.0096                  1.0000067997465263
6.375E-4                 -0.0084                  1.0000063023655845
6.375E-4                 -0.0072                  1.0000055758033035
6.375E-4                 -0.005999999999999998    1.0000045334189056
6.375E-4                 -0.004799999999999999    1.0000045768645651
6.375E-4                 -0.003599999999999999    1.000003348508664
6.375E-4                 -0.0023999999999999994   1.0000026915865985
6.375E-4                 -0.0011999999999999997   1.0000020725037926
6.375E-4                 0                        1.0000015256097845
6.375E-4                 0.0011999999999999997    1.000000214626017
6.375E-4                 0.002400000000000003     0.999998800832928
6.375E-4                 0.0036000000000000025    0.9999982743740308
6.375E-4                 0.004800000000000002     0.9999978967877161
6.375E-4                 0.006000000000000002     0.9999962278757799
6.375E-4                 0.0072000000000000015    0.9999954319155853
6.375E-4                 0.008400000000000001     0.9999947045225954
6.375E-4                 0.009600000000000004     0.9999936740223393
6.375E-4                 0.010800000000000004     0.9999926288978764
6.375E-4                 0.012000000000000004     0.9999920712825702
6.375E-4                 0.013200000000000003     0.99999101123046
6.375E-4                 0.014400000000000003     0.9999904378765593
6.375E-4                 0.015600000000000003     0.9999900717727235
6.375E-4                 0.016800000000000002     0.9999891693288709
6.375E-4                 0.018000000000000002     0.9999887755127524
6.375E-4                 0.019200000000000002     0.9999880842938343
6.375E-4                 0.0204                   0.9999874398013369
6.375E-4                 0.0216                   0.9999874382938329
6.375E-4                 0.0228                   0.999987319864871
0.0019125000000000001    -0.0228                  1.0000092743438918
0.0019125000000000001    -0.0216                  1.0000094890002416
0.0019125000000000001    -0.0204                  1.00000936297181
0.0019125000000000001    -0.019200000000000002    1.0000094047448793
0.0019125000000000001    -0.018000000000000002    1.0000089234662888
0.0019125000000000001    -0.016800000000000002    1.0000089384718869
0.0019125000000000001    -0.0156                  1.0000085078196883
0.0019125000000000001    -0.0144                  1.0000078165722326
0.0019125000000000001    -0.0132                  1.000007742358739
0.0019125000000000001    -0.012                   1.000007669239866
0.0019125000000000001    -0.0108                  1.0000068310950334
0.0019125000000000001    -0.0096                  1.0000062334648105
0.0019125000000000001    -0.0084                  1.0000059116918845
0.0019125000000000001    -0.0072                  1.0000058015403013
0.0019125000000000001    -0.005999999999999998    1.0000047746161822
0.0019125000000000001    -0.004799999999999999    1.0000040005572342
0.0019125000000000001    -0.003599999999999999    1.000003815689836
0.0019125000000000001    -0.0023999999999999994   1.0000028296617745
0.0019125000000000001    -0.0011999999999999997   1.000001615963819
0.0019125000000000001    0                        1.0000010740112
0.0019125000000000001    0.0011999999999999997    1.000001009215741
0.0019125000000000001    0.002400000000000003     0.9999992690101636
0.0019125000000000001    0.0036000000000000025    0.9999988245256866
0.0019125000000000001    0.004800000000000002     0.9999976576040296
0.0019125000000000001    0.006000000000000002     0.9999961328538676
0.0019125000000000001    0.0072000000000000015    0.99999557762994
0.0019125000000000001    0.008400000000000001     0.999994885987423
0.0019125000000000001    0.009600000000000004     0.9999938698787245
0.0019125000000000001    0.010800000000000004     0.9999931229572974
0.0019125000000000001    0.012000000000000004     0.9999922513203453
0.0019125000000000001    0.013200000000000003     0.9999915508290234
0.0019125000000000001    0.014400000000000003     0.9999908684000182
0.0019125000000000001    0.015600000000000003     0.9999907340162353
0.0019125000000000001    0.016800000000000002     0.9999897432242271
0.0019125000000000001    0.018000000000000002     0.9999889252265081
0.0019125000000000001    0.019200000000000002     0.9999887356828635
0.0019125000000000001    0.0204                   0.9999875716078198
0.0019125000000000001    0.0216                   0.9999877757248457
0.0019125000000000001    0.0228                   0.9999877170079273
0.0031875000000000002    -0.0228                  1.0000091533885536
0.0031875000000000002    -0.0216                  1.000009513727598
0.0031875000000000002    -0.0204                  1.000009768392561
0.0031875000000000002    -0.019200000000000002    1.0000098114531109
0.0031875000000000002    -0.018000000000000002    1.0000092556075024
0.0031875000000000002    -0.016800000000000002    1.0000089433094985
0.0031875000000000002    -0.0156                  1.0000087558781305
0.0031875000000000002    -0.0144                  1.0000086796836862
0.0031875000000000002    -0.0132                  1.0000081699094012
0.0031875000000000002    -0.012                   1.0000078646340584
0.0031875000000000002    -0.0108                  1.0000072814844139
0.0031875000000000002    -0.0096                  1.000006811000086
0.0031875000000000002    -0.0084                  1.0000061617779192
0.0031875000000000002    -0.0072                  1.0000056561039579
0.0031875000000000002    -0.005999999999999998    1.0000048613259882
0.0031875000000000002    -0.004799999999999999    1.0000040896107254
0.0031875000000000002    -0.003599999999999999    1.0000035056050318
0.0031875000000000002    -0.0023999999999999994   1.0000028588075307
0.0031875000000000002    -0.0011999999999999997   1.0000018593300455
0.0031875000000000002    0                        1.0000013852794383
0.0031875000000000002    0.0011999999999999997    1.0000003080549364
0.0031875000000000002    0.002400000000000003     0.9999993662284108
0.0031875000000000002    0.0036000000000000025    0.999998458261576
